OBJECTID,Country,Feature Description,Feature Name,Installation Identifier,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Metadata Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
1,usa,na,NAVMEDCEN Portsmouth VA,N57095,No,No,No,na,na, ,7d7e44c7-47ad-4fb2-84e1-dd138acdfb6c,NAVMEDCEN Portsmouth VA,act,usn,VA,4.75627753075969E-05,0.0388409251126118
2,usa,na,NAVSUPPACT Hampton Roads VA,N57095,No,No,No,na,na, ,8b011bb7-9e1d-4915-9465-09cad2612ab4,NAVSUPPACT Hampton Roads VA,act,usn,VA,0.000324135278106041,0.0966208663119484
3,usa,na,NNSY South Gate,N32443,No,No,No,na,na, ,01610704-e8c4-4b42-bc0e-9a172afa4357,NNSY South Gate,act,usn,VA,3.83019339551538E-05,0.0250454514453245
4,usa,na,Naval Support Activity Wash,N68469,No,No,No,na,na, ,c7359a10-744f-4dcc-930e-ad8894bdcc75,Naval Support Activity Wash,act,usn,dc,3.21666936997644E-05,0.0249714394928397
5,usa,na,Arlington Service Ctr,N68469,No,No,No,na,na, ,a6845150-ab6a-4f3d-9483-1c4b5432b3bc,Arlington Service Ctr,act,usn,VA,8.14547820482403E-06,0.0137673188909818
6,usa,na,Gambrills MD,N61152,No,No,No,na,na, ,3876391a-0037-4b49-a043-ce03932d792a,Gambrills MD,act,usn,MD,0.00035183764816793,0.107422091911797
7,usa,na,Naval Support Activity Crane,N61018,No,Yes,No,na,na, ,61344b2a-a61a-486b-a872-2288c1ecfc2f,Naval Support Activity Crane,act,usn,IN,0.0260294147494733,1.16717747410261
8,usa,na,Naval Submarine Base New London,N00129,No,Yes,No,na,na, ,bbb4062d-b867-4714-a695-4a49cd716f11,NAVSUBASE New London CT,act,usn,CT,0.000266923043227507,0.107019124058874
9,usa,na,NAVSUPPACT Mechanicsburg PA,N32414,No,No,No,na,na, ,683d1287-866b-4b9f-a49b-1e4de7976839,NAVSUPPACT Mechanicsburg PA,act,usn,PA,0.000338086326337361,0.104380079438098
10,usa,na,Naval Research Laboratory – Tilghman,N61152,No,Yes,No,na,na, ,bf3f4cf2-512f-4660-8090-0888597acecb,Tilghman Island,act,usn,MD,1.09098436951172E-06,0.00579359365359316
11,usa,na,NAVSUPPACT Bethesda MD,N33355,No,No,No,na,na, ,a0ce61ff-d707-4940-baaf-2e82ce7a6c1c,NAVSUPPACT Bethesda MD,act,usn,MD,0.00010010183450504,0.0421077037273761
12,usa,na,Naval Support Activity Philadelphia,N32414,No,Yes,No,na,na, ,d359d27e-b0e1-48c5-bb38-0b5528a1e2b9,Det Philadelphia PA,act,usn,PA,5.76016172999516E-05,0.0352851950634663
13,usa,na,Gould Island RI,N32411,No,No,No,na,na, ,ba39f6b5-6490-4131-b87d-e65e71438566,Gould Island RI,act,usn,RI,4.36920731772261E-06,0.0136603228019068
14,usa,na,Craney Island,N62688,No,No,No,na,na, ,73b4de73-3009-40a0-8895-00163c348e30,Craney Island,act,usn,VA,0.000296264225653431,0.110923105487631
15,usa,na,Elizabeth Rvr Channel,N62688,No,No,No,na,na, ,f009171e-84ea-41b3-902f-6fb0b7ab19f8,Elizabeth Rvr Channel,act,usn,VA,1.50452553953073E-05,0.0168376097412262
16,usa,na,Naval Air Station Oceana,N60191,No,Yes,No,na,na, ,2e2a6865-6651-4087-a061-f76f017e93bb,NAS Oceana VA,act,usn,VA,0.00217111143274451,0.235526542833274
17,usa,na,ALF Fentress Chesapke,N60191,No,No,No,na,na, ,90615497-ef16-4ce6-be46-dad665bad836,ALF Fentress Chesapke,act,usn,VA,0.00105703287476899,0.220481724718301
18,usa,na,Glenview,N00128,No,No,No,na,na, ,4a5d0592-dc4f-4f2a-ba61-048010dd814b,Glenview,act,usn,IL,1.33209371142584E-05,0.0210617190800968
19,usa,na,Bratenahl,N00128,No,No,No,na,na, ,2dbcf452-c99b-40ea-a2ea-9c8230681abc,Bratenahl,act,usn,OH,1.34794402129046E-05,0.0186727528994251
20,usa,na,Naval Station Norfolk,N62688,No,Yes,No,na,na, ,697cec17-38ee-4f84-aee6-4923cd709a79,NAVSTA Norfolk VA,act,usn,VA,0.00166222503526114,0.329579266704086
23,usa,na,Cheatham Annex,N69212,No,No,No,na,na, ,409a240e-1681-4729-b304-a08250cf6133,Cheatham Annex,act,usn,VA,0.000937734902436205,0.249507495475647
