Name,State,Zip Code
Fort Novosel,AL,36362
Fort Huachuca,AZ,85613
Fort Irwin,CA,92310
Fort Carson,CO,80913
Fort Eisenhower,GA,30905
Fort Moore,GA,31905
Fort Stewart,GA,31313
Fort Leavenworth,KS,66027
Fort Riley,KS,66442
Fort Campbell,KY,42223
Fort Knox,KY,40121
Fort Johnson,LA,71459
Fort Detrick,MD,21702
Fort George G. Meade,MD,20755
Fort Leonard Wood,MO,65473
Fort Drum,NY,13602
Fort Hamilton,NY,11209
Fort Liberty,NC,28310
Fort Still,OK,73503
Fort Jackson,SC,29207
Fort Bliss,TX,79916
Fort Cavazos,TX,76544
Fort Belvoir,VA,22060
Fort Gregg-Adams,VA,23801
Fort Meyer,VA,22211
Joint Base Lewis-McChord,WA,98433
Fort McCoy,WI,54656
